ID,Zchng,Fundnr,Anzahl,Dm_min,DM_max,Proz,Farb_a1,Farb_a2,Farb_a3,Farb_i1,Farb_i2,Farb_i3,Farb_kern1,Farb_kern2,Farb_kern3,Verzierung_a1,Verz_a1_mehrfach,Verzierung_a2,i,Produktionsspuren,Erhaltung,Mag_min,Mag_max,Hals_Kragenform,Anmerk,Gefäßform,Gefäßtyp,Randform,joint_Zchnr,joints_WS_Zahl,joint_RS_Zahl,Anmerk_2,Zenodo
1,70XIII,1230467,1,,,777,6,,,6,,,5,,,,,,,,,,"0,25",,Deckelmarke,,60,,,,,,
2,45XV,1230380,1,,,,1,6,,1,9,,1,9,,,,,,,,"0,1","0,3",,DeckelmarkeBobzin,,,,,,,,
3,,1230284,1,18,,6,3,,,1,2,,2,,,,,,,,errodiert,"0,1","0,25",,,,,K,,,,,
4,,1230464,1,,,,6,,,6,,,2,,,3,,,,,,,"0,15",,GF bis unter Rand,,,K4,,,,,
5,,1230411,1,,20,4,4,3,,4,3,,5,,,3,,,,,,,"0,2",,GF direkt unter dem Rand,,40,T1,,,,,
6,,1230411,1,,,777,2,,,4,2,,5,,,3,,,,,,,"0,25",,GF direkt unter Rand,,40,T1,,,,,
7,35XI,1230333,1,,20,11,2,1,,1,8,,5,,,,,,,,,"0,1","0,4",,grobgemagert,,50,T1,,1,,,
8,,1230493,1,,20,7,,,,,,,,,,,,,,,,,,,Hohlkehle,,,T8,,,,,
9,64IV,1230,1,,12,11,8,,,9,,,8,,,,,,12,,,,"0,02",,,,,,,,,,
10,47XII,1230390,1,,18,10,1,,,7,,,2,,,,,,,,,"0,1","0,35",6,,,,,,,,,
11,42XIII,1230050,1,,,777,4,,,4,,,5,,,,,,,,Loch,"0,1","0,4",,,,,T1,,,,,
12,,1230390,1,,,,,,,,,,,,,,,,,,,,,,napfartig,,,,,,,,
13,48III,1230390,1,,,,4,,,4,,,5,,,,,,,,,"0,1","0,2",,Näpfchen,,,,,,,,
14,31I,1230367,2,,20,12,3,,,,,,5,,,,,,,,,"0,2","0,3",,rauh,,70,,,,,,
15,,1230317,1,,,,7,,,7,,,5,,,,,,,,,"0,1","0,4",,Schale?,,,G14,,,,,
16,32VIII,1230284,1,,16,6,6,,,6,,,5,,,,,,,,,"0,1","0,2",,slawisch?,,52,,,,,,
17,44II,1230200,1,,16,15,6,,,2,,,,,,,,,,,,"0,05","0,15",3,,,50,T1,,,,,
18,71XV,1230457,2,,20,,4,,,6,,,4,,,,,,,,,,"0,2",,UFG?,,,,,,,,
19,29I,1230367,2,16,18,75,9,8,3,,,,2,,,,,,,,,"0,05","0,3",,wenig Magerung,,50,T21,,,,,
20,32I,1230284,1,,14,20,2,3,,1,,,5,,,,,,,,,"0,05","0,3",,wenig Magerung,,40,,,,,,
21,29V,1230367,2,,16,27,9,8,3,,,,5,,,,,,,,,"0,1","0,4",,wenig Magerung,,,,,,,,
22,,1230282,1,,,,,,,,,,,,,3,,,3,,geschwärzt,,,,,,70,G1,,,,,
23,51I,1230420,2,,16,40,1,,,4,,,5,,,3,,,,,,"0,1","0,2",,,,50,T12,,1,,,
24,,1230197,1,,14,7,4,,,4,,,4,2,,3,,,,,,,,,,,40,T1,,,,,
25,45X,1230383,1,,18,5,1,2,,1,2,,5,,,3,,,,,,"0,1","0,3",,,,50,T8,,,,,
26,45VIII,1230383,1,,18,14,6,,,1,2,,5,,,3,,,,,,"0,2","0,3",,,,40,T13,,,,,
27,44IX,1230206,1,,22,14,4,,,1,4,,5,,,3,,,,,,"0,15","0,2",,,,50,T1,,,,,
28,44X,1230206,1,,17,8,3,2,,3,2,,5,,,3,,,,,,"0,2","0,25",,,,40,T1,,,,,
29,41XIV,1230353,1,,16,23,3,7,,6,,,5,,,3,,,,,,"0,1","0,2",,,,50,T8,,,,,
30,,1230383,1,,18,10,4,,,4,,,5,,,3,,,,,,"0,1","0,2",,,,40,T8,,,,,
31,42II,1230346,1,,18,34,7,,,4,,,5,,,3,,,,,,,"0,15",,,,40,T2,,,,,
32,41XVII,1230346,2,,14,25,1,7,,4,1,,5,,,3,,,,,,,"0,25",,,,40,K4,,,,,
33,42I,1230346,2,,19,25,8,7,,7,3,,5,,,3,,,,,,"0,15","0,2",,,,50,T1,,,,,
34,32VI,1230284,1,,,,9,4,,,,,5,,,3,,,,,,"0,05","0,15",,,,70,,,,,,
35,42VIII,1230348,1,,,,,,,7,,,,,,3,,,,,,,,,,,60,,,,,,
36,,1230317,2,,,,,,,,,,,,,3,,,,,,,,,,,70,G2,,,,,
37,,1230348,1,,14,6,,,,,,,,,,3,,,,,,,,,,,,K4,,,,,
38,64VII,1230452,1,,,,,,,,,,,,,3,,,,,,,,1,,,,T12,,,,,
39,70XVII,1230481,1,,12,16,2,1,,2,1,,2,,,3,,,,,,"0,1","0,2",,,,40,T1,,,,,
40,70II,1230041,1,,14,18,4,,,4,,,2,,,3,,,,,,"0,1","0,25",,,,50,T8,,,,,
41,66I,1230473,1,,18,9,1,2,,1,4,,4,,,3,,,,,,"0,25","0,3",,,,50,T1,,,,,
42,71IX,1230477,1,,,,4,,,4,,,4,,,3,,,,,,,"0,2",,,,60,,,,,,
