ID,Zchng-Nr,Fundnr,Anzahl,BZCHN,i,a,Dm_min,DM_max,Proz_erhalt,Farb_a,Farb_i,Farb_Kern,Mag_min,Mag_max,Gefäßtyp,Fragmenttyp,Standflaeche,Produktionsspuren,joint,Bodenform,Zenodo
1,68IX,1230464,1,1,,,10,,26,1,12,1,"0,15","0,2",,,,,,1,
2,72X,1230250,1,3,,,9,,25,1,3,5,,"0,25",,,,blasiger Boden,,1,
3,50XII,1230421,1,3,,,9,,25,1,78,5,"0,2","0,3",,,,,,1,
4,34II,1230340,1,2,,,,13,25,2,4,5,"0,05","0,25",,,,,,1,
5,37XII,1230289,1,1,,,,9,10,2,4,5,"0,2",,,,,,,1,
6,55VI,1230450,1,1,,,8,,25,2,4,5,"0,2",,,,,,,1,
7,60III,1230435,1,1,,,9,,60,2,4,6,"0,2",,,,,,,1,
8,33IX,1230340,1,3,,,,"10,6",55,2,8,2,"0,05","0,3",,,,,,1,
9,45I,1230385,1,3,,,,,,3,6,6,,"0,25",,,,,,1,
10,45IV,1230386,1,3,,,,,,3,6,,"0,1","0,25",,,,,,8,
11,56V,1230433,1,3,,,9,,30,3,99,2,"0,2","0,4",,,,,,3,
12,63X,1230434,1,1,,,"8,1",,52,4,6,5,,,,,,,,1,
13,44XVII,1230385,1,3,,,,9,30,4,4,5,"0,1","0,35",,,,,,1,
14,53IV,1230475,1,1,,,,,100,4,4,5,"0,1","0,4",,,,,,1,
15,61XVI,1230398,1,1,,,,,,4,4,5,"0,2",,,,,,,1,
16,58XV,1230436,1,1,,,"7,6",,60,4,4,5,"0,2","0,25",,,,,,1,
17,59IX,1230463,1,1,,,"8,4",,50,4,4,5,"0,1","0,4",,,,,,1,
18,38XIII,123033,1,1,,,,9,25,4,4,4,"0,3","0,4",Garz?,,,,,3,
19,70VI,123041,1,3,,,11,,25,4,4,5,,,,,,,,4,
20,70V,123041,1,1,9,,8,,15,4,6,2,,"0,2",,,6,,,6,
21,64III,1230392,1,3,,,9,,100,5,1,5,"0,3",,,,,,,1,
22,72IX,1230250,1,3,,,11,,45,5,1,15,,"0,15",Schale,,4,Drehriefen,,7,
23,69VII,1230461,1,1,,,9,,25,5,5,5,,,,,,,,,
24,52XI,1230478,1,1,,,8,,49,12,2,2,"0,25",,,,,Holzabdruck,,1,
25,43XIII,1230204,1,1,,,,11,22,12,2,5,,"0,25",,,,,,5,
26,66IV,1230288,1,3,,,10,9,25,47,47,5,"0,3",,,,,,,13,
27,44XIV,1230207,1,2,,,,9,30,32,2,5,"0,05","0,25",,,,,,1,
28,45III,1230386,1,3,,,,7,40,38,32,7,"0,2","0,4",,,,,,,
29,30V,1230367,1,1,,,,7,40,23,9,,,,,,,,,,https://zenodo.org/record/2529457
30,34VI,1230323,1,1,,,,,,247,,,,,,,,,,1,
31,31VII,1230367,1,3,,,,9,100,28,9,5,"0,1","0,5",,,,Holzabruck,,,
32,63VII,1230444,1,2,,,9,,35,51,5,5,"0,1","0,2",,,,Holzabdruck?,,,
33,56VI,1230433,1,3,,,11,,20,49,24,6,"0,2","0,4",Feldberg,,,,,1,
34,48IX,1230482,1,3,3,,11,,24,47,12,,"0,15","0,3",,,6,,,4,
35,54IV,1230415,1,2,,,11,,20,47,4,8,"0,05","0,2",,,,,,1,
36,39VI,1230343,1,1,,,,,,72,47,2,"0,2","0,3",,,,,,3,
37,30III,1230367,1,2,,,,,,,2,5,,,,,,Holzabdruck?,,,https://zenodo.org/record/2529430
38,55XII,1230451,1,1,,,"8,5",,100,,74,2,"0,2","0,3",,,4,,,1,
39,62I,1230398,1,3,3,3,8,,40,,,5,"0,25",,,,,,,4,
40,42XI,1230346,1,1,,,,,,,,,,,,,,,,7,
41,33X,1230340,1,2,,,,8,30,,,,,,,,,überbrannt,zu 11 WS und RS Zchng. 33II,1,
42,35V,1230324,1,1,,,,8,20,,,,,,,,,,,1,
43,36VII,1230325,1,1,,,,,<5,,,,,,,,,,,1,
44,35XV,1230325,1,1,,,,,,,,,,,,,,,,1,
45,38XI,1230344,1,1,,,,9,47,,,,,,,,,,,1,
46,38XIV,123033,1,1,,,9,10,20,,,,,,,,4,,,1,
47,40II,123033,1,1,,,,9,25,,,,,,,,,,,1,
48,40III,123033,1,1,,,,10,15,,,,,,,,,,,1,
49,42VI,1230348,1,1,,,,,,,,,,,,,,,,1,
50,42XIV,123050,1,1,,,,,,,,,,,,,,,,1,
51,45XVI,1230380,1,1,,,9,,35,,,,,,,,,,,1,
52,46I,1230380,1,1,,,"8,3",,80,,,,,,,,,,,1,
53,46X,1230317,1,1,,,9,,70,,,,,,,,,,,1,
54,47II,1230317,1,1,,,,,,,,,,,,,,,,1,
55,48XI,1230442,1,1,,,,,,,,,,,,,4,,,1,
56,50IX,1230439,1,1,,,8,,15,,,,,,,,,,,1,
57,52V,1230418,1,1,,,,,,,,,,,,,,,,1,
58,56XV,1230429,1,1,,,,,,,,,,,,Mittelteil,,,,1,
59,57IV,1230429,1,1,,,8,,7,,,,,,,,,,,1,
60,57V,1230429,1,1,,,8,,10,,,,,,,,,,,1,
61,61VI,1230402,1,1,,,,,,,,,,,,,,,,1,
62,60IV,1230435,1,1,,,,,,,,,,,,Mittelteil,,,,1,
63,59IV,1230427,1,1,,,"6,5",,80,,,,,,,,,,,1,
64,63IV,1230493,1,1,,,7,,15,,,,,,,,,,,1,
65,36XV,1230325,1,1,,,,,,,,,,,,,,,,2,
66,32IX,1230284,1,3,,,,9,20,,,,,,Garz?,,,,,4,
67,32VIII,1230284,1,1,,,,"10,2",50,,,,,,,,6,,,12,
68,36VI,1230325,1,2,,,,9,75,,,,,,,,,unebene Bodenfläche,,5,
69,38XII,1230344,1,1,,,,,,,,,,,,Mittelteil,,,,5,
70,48II,1230390,1,1,,,10,,18,,,,,,,,,,,1,
71,41XII,1230353,1,1,,,,,,,,,,,,,,,,9,
72,28VI,1230367,1,1,,,,,,,,,,,,,,,,11,
73,30IV,1230367,1,1,,,,,,,,,,,,,,,,,https://zenodo.org/record/2529455
74,30VI,1230367,1,1,,,,,,,,,,,,,,,,,https://zenodo.org/record/2529463
75,30VII,1230367,1,1,,,,,,,,,,,,,4,,,,https://zenodo.org/record/2529465
76,37XIII,1230289,1,1,,,,,,,,,,,,Mittelteil,,,,,
77,42XII,1230346,1,1,,,,,,,,,,,,,,,,,
78,45XI,1230383,1,1,,,,,,,,,,,,Mittelteil,,,,,
79,46VII,1230316,1,1,,,,,,,,,,,,,,,,,
80,47I,1230317,1,1,,,10,,25,,,,,,,,,,,,
81,57VII,1230429,1,1,,,,,,,,,,,,Mittelteil,,,,,
82,63XIV,1230392,1,1,8,,,,,,,,,,,,,,,,
83,67VI,1230282,1,1,8,,,,,,,,,,,,,,,,
84,62VII,1230395,1,1,,,,,,,,,,,,Mittelteil,,,,,
85,62VIII,1230395,1,1,,,,,,,,,,,,Mittelteil,,,,,
86,68XV,1230464,1,1,,,,,,,,,,,,,,,,,
87,70XV,1230467,1,1,,,,,,,,,,,,,,,,,
88,70XVI,1230467,1,1,,,,,,,,,,,,,,,,,
89,70XIX,1230481,1,1,7,,,,,,,,,"0,2",,,,,,,
90,71XI,1230477,2,2,,,,,,,,,,,,,,Textilabdruck?,,,
