ID,Fundnr,Anzahl,Randform,Verzier_a1,Verzier_a2,Verzier_a3,Verzier_i1,Gefäßtyp,Hals_Kragenform,Anmerk,DMmax,Dmproz
1,1230343,1,K5,,,,,62,,,,
2,1230421,1,G1,3,,,,70,,GF schmal,,
3,1230429,1,,3,,,3,70,,,,
4,1230436,1,G1,3,,,3,70,,,,
5,1230434,1,G4,3,,,3,70,,,,
6,1230484,1,G2,3,,,,70,,,,
7,1230398,1,G1,3,,,,70,,,,
8,1230434,1,G4,3,,,,70,,,,
9,1230282,2,T2,20,,,,70,,,,
10,1230289,1,G1,,,,,70,,,,
11,1230346,1,G4,,,,,70,,,,
12,1230402,1,G3,,,,,70,,,,
13,1230434,3,G1,,,,,70,,,,
14,1230435,1,,3,,,,6070,,,,
15,1230433,1,,,,,,10,,,,
16,1230250,3,T1-T8,,,,,5040,,,,
17,1230380,1,T1,3,,,,40,,,,
18,1230446,2,T2,3,,,,40,,,,
19,1230478,4,K4,3,,,,40,,,,
20,1230478,1,K4,3,,,,40,,,,
21,1230429,2,T1,3,,,,40,,,,
22,1230395,2,T2,3,,,,40,,,,
23,1230325,1,T1,3,,,,40,,,,
24,1230451,1,K4,1,,,,40,,,,
25,1230445,2,K3,1,,,,40,,,,
26,1230429,6,T1,,,,,5040,,,,
27,123041,1,K3,3,20,,,,,,,
28,1230428,1,K4,15,3,,,,,,,
29,1230351,2,K3,15,3,,,,,,,
30,1230344,1,K4,15,3,,,,,,,
31,1230346,1,K4,15,3,,,,,,,
32,1230428,3,K3,1,3,,,,,,,
33,1230282,1,K3,1,3,,,,,,,
34,123041,1,K3,3,13,,,,,,,
35,1230367,1,K1,21,13,,,,,,,
36,1230444,1,K1,1,13,,,,,,,
37,123041,1,K4,3,14,,,,,,,
38,1230454,1,K6,3,15,,,,,,,
39,1230476,2,K3,3,1,,,,,,,
40,1230289,3,K4,3,,,,,,,,
41,1230344,2,K4,3,,,,,,,,
42,1230351,1,T10,3,,,,,,,,
43,1230421,3,K4,3,,,,,,,,
44,1230420,2,K3,3,,,,,,,,
45,1230418,2,K4,3,,,,,,,,
46,1230418,1,G4,3,,,,,,,,
47,1230475,2,T5,3,,,,,,,,
