ID;Fundnr;Anzahl;Verzier_a1;Verz_a1_mehrfach;Wsmin;Wsmax;Verzier_a2;Verzier_a2_mehrfach;Verzier_a3;Verzier_a4;Verzier_i;Dmax;Proz_erhalt;Fragmenttyp;Anmerk;Zchng;Typ;joint;Ware
1;1230418;5;3;;;;;;;;;;;50;;;;;
2;1230351;2;10;;0,4;0,6;;;;;;;;20;schwarz;;80;;
3;1230385;1;3;;;;;;1;;;14;10;20;;;;;
4;1230402;2;3;;;;20;;14;;;;;20;;;;;
5;1230464;1;3;;;;;;15;;;;;20;;;;;
6;1230475;1;3;;;0,5;14;;;;;;;20;;;;;
7;1230323;1;3;;0,35;0,5;;;;;;16;13;20;;;;;
8;1230383;1;3;;0,5;0,7;;;14;;;;;20;;;;;
9;1230344;1;3;;;0,7;;;1;;;;;10;;;;;
10;1230464;1;3;;;;;;;;;;;10;;;40;;
11;1230464;2;3;;;;;;1;;;;;10;;;40;;
12;1230353;1;3;;;;;;;;;;;10;;;40;;
13;1230395;1;3;;;;;;2;;;;;10;;62II;;;
14;1230461;1;3;;;;20;;;;;;;10;;;;;
15;1230331;1;3;;;0,65;;;1;;;;;10;;;;;
16;1230050;1;3;;;0,6;;;1;;;;;10;;;;;
17;1230439;1;3;;;;;;1;;;;;10;;;;;
18;1230445;1;3;;;0,6;;;1;;;;;10;;;;;
19;1230398;1;3;;;;;;1;;;;;10;;;;;
20;1230493;2;3;;;;;;1;;;;;10;;;;;
21;1230476;1;3;;;;;;1;;;;;10;;;;;
22;1230394;1;3;;;;;;1;;;;;10;;;;;
23;1230467;1;3;;;;;;1;;;;;10;;;;;
24;1230284;1;3;;;0,65;;;1;;;;;10;;;;;
25;1230435;1;3;;;;;;1;;;;;10;;;;;
26;1230051;3;;;;;;;1;;;;;10;;;;;
27;1230442;1;;;;;;;1;;;;;10;;;;;
28;1230398;3;;;;;;;1;;;;;10;;;;;
29;1230284;1;;;;0,75;;;1;;;;;10;;;;;
30;1230289;1;3;;;;;;2;;;;;10;;;;;
31;1230282;1;3;;;;;;2;;;;;10;;;;;
32;1230454;1;3;;;;;;2;;;;;10;;;;;
33;1230493;1;;;;;;;2;;;;;10;;;;;
34;1230348;1;3;;;0,75;20;;2;;;;;10;;;;;
35;1230252;1;3;;;;20;;2;;;;;10;;;;;
36;1230478;3;3;;;;;;20;;;;;10;;;;;
37;1230420;1;3;;;;20;;14;;;;;10;;;;;
38;1230402;2;3;;;;;;20;;;;;10;;;;;
39;1230467;1;3;;;;;;20;;;;;10;;;;;
40;1230481;4;3;;;;;;20;;;;;10;;;;;
41;1230420;1;;;;;;;20;;;;;10;;;;;
42;1230409;1;;;;;;;20;;;;;10;;;;;
43;1230428;1;;;;;;;20;;;;;10;;;;;
44;1230402;1;20;;;0,6;;;14;;;;;10;;;;;
45;1230493;1;3;;;;;;14;;;;;10;;;;;
46;1230408;1;3;;;;;;14;;;;;10;;;;;
47;1230463;1;;;0,4;0,6;;;14;;;;;10;;;;;
48;1230493;1;3;;;;;;13;;;;;10;;;;;
49;1230477;2;3;;;;;;13;;;;;10;;;;;
50;1230478;1;;;;;;;13;;;;;10;;;;;
